合同编号,专区码, 原专区名称,所属, 专区名称,客户类型,分公司,省份,地市,所属平台,项目经理,远程交付,商务,开发,确认接入时间,接入时间至今,专区上线自检表反馈时间,上线时间至今,专区状态,25年收益情况,26年收益情况,总收益情况,备注,专区地址,近期交易,今日开标,专区成本,上线前成本,预警等级,所属省份,收款方式,总成本,成本率
C2024120019,DQ_MengZhao,蒙招专区,,,其他,交易云服务华东分公司,内蒙古蒙古族自治区,,新点电子交易平台（7.0）,,顾梦娇,白泽江,黄安,2024-12-03,1年3月28天,2024-12-27,1年3月4天,上线有量,10250.0,2700.0,17800.0,,https://mengzhao.etrading.cn/,1,0.0,21554.59,186.96,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,21741.55,122.1435393258427
C2025030018,DQ_ZZJT,中招建通新点电子交易平台,,,政府,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,,夏焕焕,法智成,黄安、沈智珩,2025-03-17,1年14天,2025-04-15,11月16天,上线有量,,,5670.0,,http://zzjt.etrading.cn/,1,0.0,31734.08,2285.57,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,34019.65,599.9938271604939
C2025040019 ,DQ_MSJY,明世继元新点电子交易平台,,,政府,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,,夏焕焕,法智成,黄安、沈智珩,2025-03-26,1年5天,2025-05-16,10月15天,上线有量,,,0.0,,https://msjy.etrading.cn/,0,0.0,16293.84,1417.89,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,17711.73,0.0
C2025040021,DQ_GNZX,国能咨询新点电子交易平台专区,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,无,谭慧敏,法智成,黄安,2025-04-09,11月22天,2025-05-12,10月19天,上线有量,,,900.0,,https://gnzx.etrading.cn/,2,0.0,21617.44,1602.14,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,23219.579999999998,2579.9533333333334
C2025040020,DQ_ZJGJ,中经国际新点电子交易平台专区,,,政府,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,无,谭慧敏,法智成,黄安,2025-04-09,11月22天,2025-05-12,10月19天,上线无量,0.0,0.0,0.0,,https://zjgj.etrading.cn/,0,0.0,10310.12,1780.65,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,12090.77,0.0
C2025080005,DQ_BYNE,巴彦淖尔市阳光招采电子交易平台,,,政府,交易云服务华北分公司,内蒙古蒙古族自治区,巴彦淖尔市,新点电子交易平台（7.0）,,谭慧敏,梁磊,黄安、沈智珩,2025-07-29,8月2天,2025-08-22,7月9天,上线有量,,,4470.0,,https://byne.etrading.cn/,0,0.0,25514.17,3883.96,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,29398.129999999997,657.6762863534675
C2025080057,DQ_BFCX,北方诚信电子交易平台,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,,,,谭慧敏,法智成,,2025-08-21,7月10天,,,暂停,,,0.0,,,,,7694.07,0.0,正常,内蒙古,,7694.07,0.0
C2025120020,DQ_YGZC,阳光招采电子交易平台专区,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,谭慧敏,谭慧敏,梁磊,黄安、沈智珩,2025-11-11,4月20天,,,上线无量,0.0,0.0,0.0,,https://ygzc.etrading.cn/,0,2.0,7608.22,0.0,正常,内蒙古,,7608.22,0.0
C2025120022,DQ_NMGZCZQ,内蒙古招采专区,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,企业数字化采购平台（8.0）,,夏焕焕,施忠义,范瑞蒙,2025-12-04,3月27天,,,推进中,0.0,0.0,0.0,,http://neimenggu.etrading.cn/,HTTP:404,,31333.52,0.0,正常,内蒙古,,31333.52,0.0
C2025120042,DQ_EEDSEZC,鄂尔多斯E招采交易平台,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,鄂尔多斯市,新点电子交易平台（7.0）,,谭慧敏,梁磊,黄安、沈智珩,2025-12-30,3月1天,,,暂停,0.0,0.0,0.0,,https://eedsezc.etrading.cn/,0,0.0,7906.08,0.0,正常,内蒙古,,7906.08,0.0
C2025020028,DQ_ZhengLue,高普专区,,正略专区,企业,交易云服务华东分公司,河北省,保定市,新点电子交易平台（7.0）,,卜舒琴,刘振飞,,2025-02-18,1年1月13天,2025-03-03,1年28天,上线有量,,,0.0,,https://gaopu.etrading.cn/,0.0,0.0,10066.05,5211.22,长期无收益预警(红色);成熟期收益不达标(橙色),河北,,15277.27,0.0
C2025090022,DQ_ZZJSYYCGPT,张家口市第一医院招标采购平台,,,其他,石家庄分公司,河北省,,企业数字化采购平台（8.0）,李晗宇,袁振州,李小科,钟源,2025-09-12,6月19天,,,上线有量,,,2700.0,,https://zjksdyyyzbcg.etrading.cn/,,,63633.01,0.0,正常,河北,,63633.01,2356.7781481481484
C2025100008,DQ_CDSWZQ,承德水务集团招采专区,大企业,,企业,石家庄分公司,河北省,承德市,企业数字化采购平台（8.0）,王文朴,,胡希哲,叶明强,2025-10-10,5月21天,,,上线有量,15375.0,17967.0,33342.0,,https://cdswzq.etrading.cn/,,,46216.79,0.0,正常,河北,,46216.79,138.61433027412872
C2026030007,DQ_HBZQJYPT,河北招采专区,,,企业,石家庄分公司,河北省,石家庄市,企业数字化采购平台（8.0）,王文朴,,,路亚波,2026-03-07,24天,,,推进中,,,0.0,,,,,0.0,0.0,正常,河北,,0.0,0.0
C2021110048,DQ_JiaMing,嘉铭专区,,,企业,交易云服务华东分公司,河南省,省直辖县级行政区划,新点电子交易平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2020-07-28,5年8月3天,2020-08-26,5年7月5天,上线有量,36715.0,10800.0,94754.0,,https://jiaming.etrading.cn/,0.0,0.0,15380.57,0.0,正常,河南,,15380.57,16.232106296304114
C2022010026,DQ_WanChen,南阳专区,,,企业,交易云服务华东分公司,河南省,南阳市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2022-02-10,4年1月21天,2022-02-11,4年1月20天,上线有量,5265.0,0.0,40360.0,,http://wanchen.etrading.cn/,0.0,0.0,7718.27,0.0,正常,河南,,7718.27,19.123562933597622
C2022030039 ,DQ_HeNan,河南专区,,,企业,交易云服务华东分公司,河南省,,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2022-03-11,4年20天,2022-03-30,4年1天,上线有量,585.0,2340.0,15015.0,,https://henan.etrading.cn/,0.0,0.0,6063.07,0.0,运营成本过高(红色);成熟期收益不达标(橙色),河南,,6063.07,40.38008658008658
C2022060010 ,DQ_ZhongGuangDianZi,中光电子公共资源交易平台,,,企业,交易云服务华东分公司,河南省,郑州市,江苏限额以下平台（7.0）,袁振州,袁振州,李孟辉,张渝、陈章,2022-05-18,3年10月13天,2022-05-27,3年10月4天,上线有量,19130.0,8840.0,47260.0,,https://zgdz.etrading.cn/,0.0,0.0,6869.68,0.0,正常,河南,,6869.68,14.535928903935675
C2022090009,DQ_JiYuan,济源专区,,,其他,交易云服务华东分公司,河南省,济源市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2022-08-17,3年7月14天,2022-09-14,3年6月17天,上线有量,53720.0,3200.0,125715.0,,https://jiyuan.etrading.cn/,1.0,0.0,23792.88,0.0,正常,河南,,23792.88,18.92604701109653
C2022080033,DQ_HenXin,恒信专区,,,企业,交易云服务华东分公司,河南省,郑州市,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2022-08-18,3年7月13天,2022-09-14,3年6月17天,上线有量,20880.0,9910.0,206410.0,,https://hengxin.etrading.cn/,1.0,0.0,7414.89,0.0,正常,河南,,7414.89,3.592311419020396
C2022090008,DQ_ZhengJi,正济专区,,,企业,交易云服务华东分公司,河南省,济源市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2022-08-30,3年7月1天,2022-09-19,3年6月12天,上线有量,23355.0,750.0,105220.0,,https://zhengji.etrading.cn/,0.0,0.0,1792.68,0.0,正常,河南,,1792.68,1.7037445352594562
C2022120014,DQ_RunZe,润泽专区,,,企业,交易云服务华东分公司,河南省,济源市,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2022-12-01,3年3月30天,2022-12-28,3年3月3天,上线有量,20975.0,0.0,29165.0,,http://runze.etrading.cn/,0.0,0.0,456.36,0.0,正常,河南,,456.36,1.5647522715583748
C2023020032,DQ_XinYang,信阳专区,,,企业,交易云服务华东分公司,河南省,信阳市,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2022-12-28,3年3月3天,2023-02-10,3年1月21天,上线有量,2000.0,0.0,2300.0,,https://xinyangweb.etrading.cn/,,,2301.96,0.0,运营成本过高(红色);成熟期收益不达标(橙色),河南,,2301.96,100.08521739130435
C2024070040,DQ_XuChangtzjt,许昌投资集团招采平台,大企业,,企业,交易云服务华东分公司,河南省,许昌市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2023-03-06,3年25天,2023-03-29,3年2天,上线有量,0.0,0.0,41473.0,标证通收益，不收平台费,https://xctzjt.etrading.cn/,1.0,0.0,0.0,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),河南,,0.0,0.0
C2023070027,DQ_TengNuo,腾诺专区,,,企业,交易云服务华东分公司,河南省,济源市,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2023-07-11,2年8月20天,2023-07-28,2年8月3天,上线有量,0.0,0.0,21640.0,,https://tengnuo.etrading.cn/,0.0,0.0,0.0,0.0,正常,河南,,0.0,0.0
C2023110060 ,DQ_LKXXGCZ,兰考县兴工财政投资有限公司招采平台,大企业,,其他,交易云服务华东分公司,河南省,开封市,新点电子交易平台（7.0）,,卜舒琴,李孟辉,黄安、沈智珩,2023-10-25,2年5月6天,2023-11-13,2年4月18天,上线有量,29000.0,3600.0,74900.0,,https://lankao.etrading.cn/,0.0,0.0,20958.71,0.0,正常,河南,,20958.71,27.982256341789054
C2024010006,DQ_ZhongLuo,中洛互通招标采购电子交易平台,,,企业,交易云服务华东分公司,河南省,济源市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2023-12-20,2年3月11天,2024-01-05,2年2月26天,上线有量,5070.0,0.0,26715.0,,https://zhongluo.etrading.cn/,0.0,0.0,5758.41,0.0,正常,河南,,5758.41,21.554969118472766
C2024010007,DQ_ZhiCheng,至诚专区,,,企业,交易云服务华东分公司,河南省,郑州市,江苏限额以下平台（7.0）,,卜舒琴,李孟辉,张渝、陈章,2024-01-05,2年2月26天,2024-01-26,2年2月5天,上线有量,54540.0,0.0,55905.0,,https://zhicheng.etrading.cn/,0.0,0.0,12175.64,0.0,正常,河南,,12175.64,21.77916107682676
C2024010027,DQ_ZhongYuanYZ,河南“中原云招”专区,,,企业,交易云服务华东分公司,河南省,郑州市,江苏限额以下平台（7.0）,,卜舒琴,韩博,张渝、陈章,2024-01-18,2年2月13天,2024-02-02,2年1月29天,上线有量,23680.0,0.0,28320.0,,https://zhongyuanyz.etrading.cn/,0.0,0.0,17358.12,0.0,运营成本过高(红色),河南,,17358.12,61.29279661016949
"C2024040031;
A2024040110",DQ_XAST,鑫安胜通专区,,,企业,交易云服务华东分公司,河南省,焦作市,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2024-03-12,2年19天,2024-04-09,1年11月22天,上线有量,0.0,0.0,0.0,无营运收益,https://xast.etrading.cn/,0.0,0.0,20150.09,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),河南,,20150.09,0.0
C2024050027,DQ_Guozhitai,国之泰专区,,,企业,交易云服务华东分公司,河南省,省直辖县级行政区划,新点电子交易平台（7.0）,,卜舒琴,李孟辉,"张渝,陈章",2024-05-21,1年10月10天,2024-06-19,1年9月12天,上线有量,25935.0,0.0,48750.0,,https://gzt.etrading.cn/,0.0,0.0,13682.78,0.0,正常,河南,,13682.78,28.067241025641028
C2024100004,DQ_FengHui,丰汇专区,,,企业,交易云服务华东分公司,河南省,济源市,新点电子交易平台（7.0）,,卜舒琴,韩博,,2024-10-10,1年5月21天,,,上线有量,0.0,0.0,0.0,,https://fenghui.etrading.cn/,0.0,0.0,117.63,0.0,正常,河南,,117.63,0.0
C2024100014 ,DQ_HNDHZQ,"	
河南大河新疆专区
",大企业,河南大河专区,企业,交易云服务华东分公司,河南省,郑州市,新点电子交易平台（7.0）,,卜舒琴,宋振国,,2024-10-16,1年5月15天,2024-10-25,1年5月6天,上线有量,0.0,0.0,0.0,,https://hndhzq.etrading.cn/,0.0,0.0,2431.05,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),河南,,2431.05,0.0
C2024100025,DQ_huiyang,辉阳专区,,,企业,交易云服务华东分公司,河南省,周口市,新点电子交易平台（7.0）,,袁振州,韩博,,2024-10-28,1年5月3天,2024-11-15,1年4月16天,上线无量,0.0,0.0,0.0,,https://huiyang.etrading.cn/,0.0,0.0,174.69,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),河南,,174.69,0.0
C2025040042,,驻马店国资采购电子招采平台,大企业,,企业,郑州分公司,河南省,驻马店市,企业数字化采购平台（8.0）,刘俊杰,袁振州,于登朝,巫志宏,2025-04-07,11月24天,,,推进中,0.0,0.0,0.0,,https://zmdgqcg.etrading.cn/,0.0,0.0,0.0,0.0,正常,河南,,0.0,0.0
C2025060007,DQ_BoFan,"博凡专区
",,,政府,交易云服务华东分公司,河南省,济源市,新点电子交易平台（7.0）,,袁振州,李孟辉,张渝,2025-06-04,9月27天,,,暂停,0.0,0.0,0.0,,https://bofan.etrading.cn/,0.0,0.0,2774.44,0.0,正常,河南,,2774.44,0.0
C2025060006,DQ_JiYuanGD,智达专区,,济源光大专区,政府,交易云服务华东分公司,河南省,济源市,新点电子交易平台（7.0）,,袁振州,李孟辉,张渝,2025-06-04,9月27天,,,上线无量,10135.0,0.0,10135.0,,https://jiyuangd.etrading.cn/,0.0,0.0,12057.37,0.0,运营成本过高(红色),河南,,12057.37,118.96763690182537
C2025060008,DQ_ZYHX,中誉恒信专区,,,政府,交易云服务华东分公司,河南省,济源市,新点电子交易平台（7.0）,,袁振州,李孟辉,张渝,2025-06-05,9月26天,,,上线有量,600.0,0.0,0.0,,https://zyhx.etrading.cn/,0.0,0.0,10555.51,0.0,正常,河南,,10555.51,0.0
C2025060016,DQ_ZhongDing,众鼎专区,,,政府,交易云服务华东分公司,河南省,济源市,新点电子交易平台（7.0）,,袁振州,李孟辉,张渝,2025-06-10,9月21天,,,上线有量,600.0,0.0,0.0,,https://zhongding.etrading.cn/,0.0,0.0,5480.45,0.0,正常,河南,,5480.45,0.0
C2025060049,DQ_NanYangZB,南阳招标投标协会电子交易平台,,,政府,交易云服务华东分公司,河南省,南阳市,新点电子交易平台（7.0）,,袁振州,宋振国,张渝,2025-06-18,9月13天,,,上线无量,0.0,0.0,0.0,,https://nanyangzb.etrading.cn/,0.0,0.0,5750.41,0.0,正常,河南,,5750.41,0.0
C2025060050,DQ_RongZC,融招采专区,,,政府,交易云服务华东分公司,河南省,漯河市,新点电子交易平台（7.0）,,袁振州,李孟辉,张渝,2025-06-19,9月12天,,,上线无量,0.0,0.0,1755.0,,https://rongzc.etrading.cn/,0.0,0.0,7288.15,0.0,正常,河南,,7288.15,415.27920227920225
C2025090021,DQ_JZSQYSPT,焦作市全要素阳光交易平台,大企业,,政府,交易云服务华东分公司,河南省,焦作市,企业数字化采购平台（8.0）,袁振州,卜舒琴,李孟辉,钟源,2025-09-11,6月20天,2025-10-24,5月7天,上线有量,0.0,0.0,0.0,,https://jiaozuoygjy.etrading.cn/,,,51674.05,19630.47,成长期无收益(黄色);成长期收益低效(橙色),河南,,71304.52,0.0
C2021010199 ,DQ_Shengjie,胜捷专区,,,企业,交易云服务华南分公司,湖北省,宜昌市,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2019-04-01,6年11月30天,2019-04-20,6年11月11天,上线有量,450.0,0.0,66115.0,,http://shengjie.etrading.cn,0.0,0.0,870.15,0.0,正常,湖北,,870.15,1.316115858730999
C2020030031 ,DQ_HuaSheng,华胜专区,,,企业,交易云服务华南分公司,湖北省,武汉市,新点电子交易平台（7.0）,,涂有龙,罗永建,王寅迟、陈强,2020-03-01,6年30天,2020-05-01,5年10月30天,上线无量,0.0,0.0,0.0,,http://huasheng.etrading.cn,0.0,0.0,0.0,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),湖北,,0.0,0.0
C2021050021,DQ_HengDa,兴焱专区,,,企业,交易云服务华南分公司,湖北省,宜昌市,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2020-05-01,5年10月30天,2020-06-22,5年9月9天,上线无量,0.0,0.0,21940.0,,http://xingyan.etrading.cn,0.0,0.0,0.0,0.0,正常,湖北,,0.0,0.0
C2021050007, DQ_ZhongYuan,中元专区,,,企业,交易云服务华南分公司,湖北省,宜昌市,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2021-04-08,4年11月23天,2021-05-01,4年10月30天,上线有量,17675.0,6200.0,217515.0,,http://zhongyuan.etrading.cn,2.0,0.0,7701.85,0.0,正常,湖北,,7701.85,3.54083626416569
C2021070003  ,DQ_ShengShi,允舜专区,,（原盛世荣业）,企业,交易云服务华南分公司,湖北省,,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2021-06-09,4年9月22天,2021-07-16,4年8月15天,上线有量,1500.0,0.0,38990.0,,http://yunshun.etrading.cn/,0.0,0.0,0.0,0.0,正常,湖北,,0.0,0.0
C2021080041,DQ_HuBei,湖北专区,,,企业,交易云服务华南分公司,湖北省,,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2021-06-16,4年9月15天,2021-07-16,4年8月15天,上线有量,205485.0,21865.0,443270.0,,http://hubei.etrading.cn,4.0,0.0,40041.46,0.0,正常,湖北,,40041.46,9.033198727637783
C2021080031,DQ_JingRun,景润专区,,,企业,交易云服务华南分公司,湖北省,恩施土家族苗族自治州,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2021-08-01,4年7月30天,2021-08-13,4年7月18天,上线无量,0.0,0.0,27950.0,,http://jingrun.etrading.cn,0.0,0.0,0.0,0.0,正常,湖北,,0.0,0.0
C2022010032,DQ_JinMenChengKong,荆门城控专区,大企业,,企业,交易云服务华南分公司,湖北省,荆门市,江苏限额以下平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2021-12-09,4年3月22天,2021-12-24,4年3月7天,上线有量,106980.0,18400.0,281650.0,,https://jmck.etrading.cn/,,,15874.72,0.0,正常,湖北,,15874.72,5.636328776850701
C2022070024 ,DQ_HanJiang,汉江集团专区,大企业,,其他,交易云服务华南分公司,湖北省,十堰市,新点电子交易平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2022-07-15,3年8月16天,2022-08-27,3年7月4天,上线有量,59720.0,21310.0,110270.0,,https://hanjiang.etrading.cn/,,,16264.21,0.0,正常,湖北,,16264.21,14.749442278044796
C2023020001,DQ_XianNingChengfa,咸宁城发,,,企业,交易云服务华南分公司,湖北省,咸宁市,江苏限额以下平台（7.0）,,涂有龙,罗永健,王寅迟、陈强,2022-11-17,3年4月14天,2023-01-13,3年2月18天,上线有量,24440.0,4940.0,82755.0,,https://xncf.etrading.cn/,,,19964.92,0.0,正常,湖北,,19964.92,24.12533381668781
C2024010036 ,DQ_HBXE,湖北省小额工程电子招标采购交易平台,,,企业,武汉分公司,湖北省,武汉市,新点电子交易平台（7.0）,,涂有龙,胡斌斌,"王寅迟,陈强",2024-01-31,2年2月0天,2024-02-22,2年1月9天,上线无量,0.0,0.0,0.0,,https://hjzc.etrading.cn/,0.0,0.0,20509.02,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),湖北,,20509.02,0.0
C2024110002,DQ_HBJXX,湖北津信项管理专区,大企业,,企业,武汉分公司,湖北省,襄阳市,新点电子交易平台（7.0）,黄硕,姚建洋,吴智恒,王寅迟、陈强,2024-11-12,1年4月19天,2024-12-30,1年3月1天,上线有量,0.0,0.0,0.0,,https://hbjxx.etrading.cn/,,,0.0,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),湖北,,0.0,0.0
C2024120017 ,DQ_nzjt,南漳建投专区,大企业,,企业,交易云服务华南分公司,湖北省,南漳县,企业数字化采购平台（8.0）,无,李勇,罗永健,周剑,2024-11-29,1年4月2天,2024-12-29,1年3月2天,上线无量,49245.0,11315.0,60560.0,,https://nzxzbcg.etrading.cn/,,,16489.11,0.0,正常,湖北,,16489.11,27.22772457067371
C2024120055,DQ_WHDWYY,武汉市第五医院线上采购系统,,,其他,武汉分公司,湖北省,武汉市,新点电子交易平台（7.0）,暂无,蔡洪昊,刘宇泰,"王寅迟,陈强",2024-12-19,1年3月12天,2024-02-10,2年1月21天,上线有量,46200.0,0.0,0.0,,https://whsyyxscgxt.etrading.cn/,0.0,0.0,32798.58,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),湖北,,32798.58,0.0
"C2025010008;
A2025010119",,中织供应链平台,,,企业,交易云服务华南分公司,湖北省,仙桃,新点电子交易平台（7.0）,无,蔡洪昊,陆化朋,"陈强,王寅迟",2025-01-03,1年2月28天,2025-01-21,1年2月10天,上线无量,0.0,0.0,0.0,,https://zzgylpt.etrading.cn/,0.0,0.0,0.0,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),湖北,,0.0,0.0
C2025080030,DQ_SuiZhou,随州专区,,,政府,交易云服务华南分公司,湖北省,随州市,新点电子交易平台（7.0）,谭慧敏,,荣辰辰,陈强、李潮,2025-08-11,7月20天,,,上线无量,0.0,0.0,0.0,,https://suizhou.etrading.cn/,0.0,0.0,12484.39,0.0,正常,湖北,,12484.39,0.0
C2025100014,DQ_JMGXZQ,荆门高新公司电子交易平台,,,企业,交易云服务华南分公司,湖北省,荆门市,企业数字化采购平台（8.0）,涂有龙,涂有龙,罗永健,周恒,2025-10-20,5月11天,2025-11-14,4月17天,推进中,0.0,0.0,0.0,,http://jmgxzq.etrading.cn/,0.0,0.0,15819.61,13754.08,正常,湖北,,29573.690000000002,0.0
C2025120053,DQ_LCZBCG,利川市招标/采购（非政府采购）电子交易平台,,,企业,交易云服务华南分公司,湖北省,利川市,新点电子交易平台（7.0）,,谭慧敏,罗永健,王寅迟、陈强,2025-12-23,3月8天,,,上线有量,0.0,93.0,93.0,,https://lczbcg.etrading.cn/,0.0,1.0,8267.83,0.0,运营成本过高(红色),湖北,,8267.83,8890.139784946237
C2026010017,DQ_XNGTZQ,咸宁高投电子交易平台,,咸宁高投电子交易平台,企业,交易云服务华南分公司,湖北省,咸宁市,企业数字化采购平台（8.0）,,涂有龙,罗永健,范瑞蒙 ,2026-01-14,2月17天,2026-02-13,1月18天,推进中,0.0,0.0,0.0,,https://xngtzq.etrading.cn/,0.0,0.0,22312.89,15699.44,正常,湖北,,38012.33,0.0
